Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-10 00:00:00+05:30,638.1558547002115,656.043431637856,637.7098916298495,644.1018676757812,494576,0.0,0.0
2022-01-11 00:00:00+05:30,648.0658633666104,660.7011406870249,637.2143778060015,642.0703125,667234,0.0,0.0
2022-01-12 00:00:00+05:30,647.1243681131093,651.2370510022429,629.2863304009562,632.65576171875,339066,0.0,0.0
2022-01-13 00:00:00+05:30,634.2414081684653,639.1964191697815,624.3313861658331,637.61083984375,379583,0.0,0.0
2022-01-14 00:00:00+05:30,639.1963856958896,684.6834085002646,631.2683685089638,674.1292114257812,1498179,0.0,0.0
2022-01-17 00:00:00+05:30,673.782341534114,786.4592301677362,664.962398786523,775.1123046875,5778572,0.0,0.0
2022-01-18 00:00:00+05:30,777.7384635032884,781.4547215097891,722.4405564637508,727.7919921875,1730617,0.0,0.0
2022-01-19 00:00:00+05:30,731.4586626333814,787.8467091560453,731.3595866127816,752.12109375,3779522,0.0,0.0
2022-01-20 00:00:00+05:30,755.9364257353233,792.801717705839,755.2427121351365,782.297119140625,1705584,0.0,0.0
2022-01-21 00:00:00+05:30,776.747432995748,776.8961075049654,730.5172213751244,744.2921142578125,871386,0.0,0.0
2022-01-24 00:00:00+05:30,746.1749980856516,771.7923766242517,721.6972356014278,728.0396728515625,1482180,0.0,0.0
2022-01-25 00:00:00+05:30,728.6838690178604,782.8916987364248,708.6656134846208,777.0943603515625,1601132,0.0,0.0
2022-01-27 00:00:00+05:30,787.8467336221934,811.6307859579576,764.1617573101055,770.603271484375,3375740,0.0,0.0
2022-01-28 00:00:00+05:30,777.5898430826549,797.7567121711016,759.6526682938097,766.6392211914062,1001364,0.0,0.0
2022-01-31 00:00:00+05:30,775.3601632243059,781.7025411579141,744.9363828906353,753.3103637695312,823383,0.0,0.0
2022-02-01 00:00:00+05:30,760.8914192455644,767.7293581003652,732.3505701514697,759.1571655273438,657171,0.0,0.0
2022-02-02 00:00:00+05:30,766.0446296503526,779.175407584204,748.305667718913,768.076171875,656023,0.0,0.0
2022-02-03 00:00:00+05:30,768.0266548313956,771.9906633724609,746.4228203797838,752.7651977539062,581168,0.0,0.0
2022-02-04 00:00:00+05:30,754.8463744119712,782.4457609967162,752.7156955254765,775.0132446289062,787938,0.0,0.0
2022-02-07 00:00:00+05:30,770.9996801976301,772.9816845169042,743.8461968291862,747.46337890625,593344,0.0,0.0
2022-02-08 00:00:00+05:30,751.1300840368566,755.5400556566201,703.611519331302,708.1701049804688,684690,0.0,0.0
2022-02-09 00:00:00+05:30,713.1747180923545,725.3144943728382,703.6115231953811,718.327880859375,453365,0.0,0.0
2022-02-10 00:00:00+05:30,717.4855643947259,750.0399611815067,711.4900134192848,745.7291259765625,519845,0.0,0.0
2022-02-11 00:00:00+05:30,737.7020209732511,741.2696045010604,719.219806773589,723.13427734375,259000,0.0,0.0
2022-02-14 00:00:00+05:30,707.3277427734848,711.5395016621535,679.8274347357066,686.863525390625,372137,0.0,0.0
2022-02-15 00:00:00+05:30,687.7554209944457,734.8775562578952,665.4083369195569,726.8504638671875,539747,0.0,0.0
2022-02-16 00:00:00+05:30,734.3325528617654,749.8417598527607,713.5215088535372,721.0531005859375,627536,0.0,0.0
2022-02-17 00:00:00+05:30,721.0531576492295,727.8910968446095,714.6116435178614,718.7738647460938,316261,0.0,0.0
