Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-10 00:00:00+05:30,42541.9117240268,42687.576773240595,41889.50519035724,42093.6796875,14317,0.0,0.0
2022-01-11 00:00:00+05:30,41698.3194519912,42490.411047360925,41698.3194519912,42095.37890625,15467,0.0,0.0
2022-01-12 00:00:00+05:30,42175.52538654658,42976.73206413196,41963.1060035968,42838.9765625,18045,0.0,0.0
2022-01-13 00:00:00+05:30,42879.55273835724,43559.64463218271,42495.083014093514,42822.01171875,27112,0.0,0.0
2022-01-14 00:00:00+05:30,42792.7201923785,43120.417523702636,42280.43192614822,43031.66796875,16004,0.0,0.0
2022-01-17 00:00:00+05:30,43024.243585839744,43988.9127245357,42734.84284423096,42879.9765625,17938,0.0,0.0
2022-01-18 00:00:00+05:30,43009.72301134029,43120.46777811848,41963.10602068588,42127.05078125,19700,0.0,0.0
2022-01-19 00:00:00+05:30,42252.418810608244,42339.33702480622,41722.189819027684,41857.38671875,15018,0.0,0.0
2022-01-20 00:00:00+05:30,41813.005708656485,42308.26913147248,41603.819455863886,42122.5703125,14464,0.0,0.0
2022-01-21 00:00:00+05:30,42011.3453879336,42011.3453879336,40768.90039433945,41036.98046875,13851,0.0,0.0
2022-01-24 00:00:00+05:30,41056.28063963164,42638.38744131416,38277.11708787115,38505.359375,24258,0.0,0.0
2022-01-25 00:00:00+05:30,38585.81020098744,40009.711180820224,37901.66743618392,39860.71875,21311,0.0,0.0
2022-01-27 00:00:00+05:30,39696.135603835144,39775.76979597859,37816.47776120884,39362.69921875,27190,0.0,0.0
2022-01-28 00:00:00+05:30,39798.39219893646,41625.90899670603,39792.46099069922,40362.96484375,23372,0.0,0.0
2022-01-31 00:00:00+05:30,40901.929998564425,41480.682600870714,40587.06344121577,40927.109375,18628,0.0,0.0
2022-02-01 00:00:00+05:30,41384.3117894987,41770.1794984917,40951.3184792492,41664.69140625,13865,0.0,0.0
2022-02-02 00:00:00+05:30,41923.46339782434,42315.458258937004,41566.584758720666,41694.11328125,10815,0.0,0.0
2022-02-03 00:00:00+05:30,41480.78038241156,42203.07652918669,40733.21065333039,40958.4609375,18463,0.0,0.0
2022-02-04 00:00:00+05:30,40958.44879119312,41118.776029524444,40079.10398767505,40218.35546875,14639,0.0,0.0
2022-02-07 00:00:00+05:30,40371.405473844425,40453.402354735146,39069.102071462345,39276.98828125,10597,0.0,0.0
2022-02-08 00:00:00+05:30,39454.97299680739,39962.96933980285,38972.63836359459,39439.73046875,31879,0.0,0.0
2022-02-09 00:00:00+05:30,39936.34587473396,41017.740201301676,39615.93246180726,40916.7890625,22580,0.0,0.0
2022-02-10 00:00:00+05:30,40661.77345524116,41122.8363684798,38876.17067794877,39506.58203125,52366,0.0,0.0
2022-02-11 00:00:00+05:30,39457.00686340996,40033.78120631288,38286.62168151697,38397.02734375,43217,0.0,0.0
2022-02-14 00:00:00+05:30,38311.78905216026,38442.068383856764,37568.75258609588,37746.83203125,19164,0.0,0.0
2022-02-15 00:00:00+05:30,37953.60140653904,40033.767098988814,37908.744294006436,39853.1328125,34400,0.0,0.0
2022-02-16 00:00:00+05:30,39744.37246781164,40178.47362340667,39558.673640140434,39813.203125,14332,0.0,0.0
2022-02-17 00:00:00+05:30,40421.11256643042,41681.129544278716,40131.20153469812,40842.828125,46013,100.0,0.0
2022-02-18 00:00:00+05:30,40614.60824507934,40835.95581380221,39910.18522713134,40127.5703125,13957,0.0,0.0
2022-02-21 00:00:00+05:30,40034.31361130948,40489.53470146706,39396.22896420712,39666.65625,18653,0.0,0.0
2022-02-22 00:00:00+05:30,38293.78287128884,39792.410088471996,38293.78287128884,39426.78125,18106,0.0,0.0
2022-02-23 00:00:00+05:30,41533.177713324505,41533.177713324505,39569.56105301561,39780.90234375,30588,0.0,0.0
