Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-10 00:00:00+05:30,1921.496920640078,1927.8590764558858,1899.8760795551834,1902.6710205078125,206170,0.0,0.0
2022-01-11 00:00:00+05:30,1887.417262127981,1913.9666098049731,1887.417262127981,1907.8795166015625,317880,0.0,0.0
2022-01-12 00:00:00+05:30,1916.3801503785667,1916.3801503785667,1898.0369650600817,1902.5841064453125,237110,0.0,0.0
2022-01-13 00:00:00+05:30,1906.7258085368974,1906.7258085368974,1892.2443466999082,1903.288818359375,353830,0.0,0.0
2022-01-14 00:00:00+05:30,1903.2889106928455,1903.7669120930757,1860.3852209106337,1872.9503173828125,371900,0.0,0.0
2022-01-17 00:00:00+05:30,1872.9358241826794,1884.0382788105665,1845.0445131536997,1866.4866943359375,364030,0.0,0.0
2022-01-18 00:00:00+05:30,1861.5434512782988,1877.762734376063,1852.468496868084,1870.966064453125,362080,0.0,0.0
2022-01-19 00:00:00+05:30,1870.0395304898607,1877.2754298961431,1793.0077663255834,1828.236328125,823830,0.0,0.0
2022-01-20 00:00:00+05:30,1815.0101059003484,1842.042171307375,1796.1890350747244,1808.64794921875,790560,0.0,0.0
2022-01-21 00:00:00+05:30,1801.4938105494275,1840.328239567417,1796.6714885840804,1831.83251953125,552410,0.0,0.0
2022-01-24 00:00:00+05:30,1831.8325368355042,1838.1801970459478,1795.701242912533,1807.0692138671875,534370,0.0,0.0
2022-01-25 00:00:00+05:30,1793.109158449642,1823.124488693782,1767.9887465049655,1814.116943359375,578800,0.0,0.0
2022-01-27 00:00:00+05:30,1790.8741587164666,1814.0444982362483,1758.7977435138569,1774.988037109375,542590,0.0,0.0
2022-01-28 00:00:00+05:30,1776.392725341124,1800.4319765530574,1769.4657120029456,1774.8865966796875,374230,0.0,0.0
2022-01-31 00:00:00+05:30,1779.0957340294005,1799.5531539128904,1779.0957340294005,1788.1273193359375,297610,0.0,0.0
2022-02-01 00:00:00+05:30,1795.7013536410545,1812.905279271743,1778.4201181192589,1802.62353515625,267910,0.0,0.0
2022-02-02 00:00:00+05:30,1816.9408314953048,1819.8371240003453,1780.3171562008567,1786.1097412109375,604160,0.0,0.0
2022-02-03 00:00:00+05:30,1778.3235628052366,1793.736632782241,1762.9828529992449,1767.3756103515625,343540,0.0,0.0
2022-02-04 00:00:00+05:30,1776.392626951018,1776.392626951018,1757.3543603419303,1769.7939453125,449240,0.0,0.0
2022-02-07 00:00:00+05:30,1769.7940912468578,1778.3236351397418,1729.183181043804,1744.799072265625,484690,0.0,0.0
2022-02-08 00:00:00+05:30,1757.5667215675946,1758.4597921724492,1736.8099599561126,1746.1890869140625,393850,0.0,0.0
2022-02-09 00:00:00+05:30,1746.4644499046292,1760.6707322079667,1739.8464401238318,1750.813720703125,482430,0.0,0.0
2022-02-10 00:00:00+05:30,1747.5261476399912,1758.329378833182,1738.740751532705,1751.27685546875,504220,0.0,0.0
2022-02-11 00:00:00+05:30,1750.8086605498124,1750.8086605498124,1701.0889770547392,1719.9342041015625,959800,0.0,0.0
2022-02-14 00:00:00+05:30,1710.3572285783566,1718.4910304314205,1682.7266030392198,1705.9404296875,429170,0.0,0.0
2022-02-15 00:00:00+05:30,1705.940274531703,1768.9828310552368,1696.4018141198314,1755.8385009765625,501700,0.0,0.0
2022-02-16 00:00:00+05:30,1753.8980152938761,1776.1415777258262,1741.0095382125103,1759.3817138671875,404100,0.0,0.0
2022-02-17 00:00:00+05:30,1776.392646445485,1776.392646445485,1733.9281874604155,1749.9398193359375,1138400,0.0,0.0
2022-02-18 00:00:00+05:30,1736.616967528872,1760.2120396766381,1719.5384354207174,1738.67333984375,963280,0.0,0.0
2022-02-21 00:00:00+05:30,1735.5550531169106,1753.2224854352096,1720.8805508195271,1748.018798828125,370360,0.0,0.0
2022-02-22 00:00:00+05:30,1736.327415923574,1756.4421303441902,1712.6405365814483,1748.4918212890625,630870,0.0,0.0
2022-02-23 00:00:00+05:30,1748.491747816568,1758.006049763885,1721.8458805522068,1730.694091796875,592480,0.0,0.0
2022-02-24 00:00:00+05:30,1711.7089475946032,1734.75377795057,1695.2966226599679,1713.1329345703125,1121050,0.0,0.0
2022-02-25 00:00:00+05:30,1718.4670067481106,1727.6337684549203,1699.158388694761,1710.2705078125,809890,0.0,0.0
2022-02-28 00:00:00+05:30,1708.8124747750726,1715.5029619118586,1673.0915360368365,1702.9378662109375,1578730,0.0,0.0
2022-03-02 00:00:00+05:30,1699.1583040868786,1727.0978164506384,1685.3574275942851,1722.772705078125,866310,0.0,0.0
2022-03-03 00:00:00+05:30,1726.1903700375967,1726.1903700375967,1678.8407712923677,1683.37353515625,669640,0.0,0.0
2022-03-04 00:00:00+05:30,1670.1953275137,1693.7566950856512,1643.2597839218588,1679.0628662109375,517050,0.0,0.0
2022-03-07 00:00:00+05:30,1650.8866726587144,1680.5978291826457,1645.094087842368,1674.2548828125,665420,0.0,0.0
2022-03-08 00:00:00+05:30,1670.1953953781247,1692.4003052588744,1637.8534614213806,1666.6522216796875,977240,0.0,0.0
2022-03-09 00:00:00+05:30,1677.9187035212829,1677.9187035212829,1647.570330241225,1655.2890625,711220,0.0,0.0
2022-03-10 00:00:00+05:30,1670.1952166332842,1707.3884602731962,1662.5682900508257,1703.8984375,664890,0.0,0.0
2022-03-11 00:00:00+05:30,1699.158281287305,1700.9009358106616,1663.437340146606,1672.845458984375,732790,0.0,0.0
2022-03-14 00:00:00+05:30,1687.3270045913905,1687.3270045913905,1656.4863666926433,1676.68310546875,386650,0.0,0.0
2022-03-15 00:00:00+05:30,1681.780405847289,1695.296436663513,1664.8901991948896,1685.796630859375,622110,0.0,0.0
2022-03-16 00:00:00+05:30,1700.1238118478625,1726.721480235294,1686.7042987918635,1720.72607421875,483900,0.0,0.0
2022-03-17 00:00:00+05:30,1717.1103527311247,1773.9645862643188,1717.1103527311247,1765.2130126953125,1008900,0.0,0.0
2022-03-21 00:00:00+05:30,1771.5654901386115,1773.496351708245,1719.770104963109,1725.8475341796875,403350,0.0,0.0
2022-03-22 00:00:00+05:30,1711.4190686391464,1725.219943840203,1665.7204411256896,1682.6734619140625,1402240,0.0,0.0
2022-03-23 00:00:00+05:30,1692.8827781710906,1694.330924260202,1666.4299527065718,1674.46240234375,592790,0.0,0.0
2022-03-24 00:00:00+05:30,1672.8984819172217,1689.503843986515,1666.3335055547,1680.631591796875,431810,0.0,0.0
2022-03-25 00:00:00+05:30,1687.3799425127454,1687.3799425127454,1648.4730354437952,1656.7950439453125,532170,0.0,0.0
2022-03-28 00:00:00+05:30,1665.3680365555335,1674.9209926415836,1620.958222247386,1627.7210693359375,801110,0.0,0.0
2022-03-29 00:00:00+05:30,1631.5777800701464,1641.2272545938818,1623.8543349573883,1633.6920166015625,837590,0.0,0.0
2022-03-30 00:00:00+05:30,1651.6590125897183,1674.7858643167901,1643.4141960811448,1670.002197265625,749700,0.0,0.0
2022-03-31 00:00:00+05:30,1665.3680514044418,1683.1126733850178,1660.8209102631808,1677.9718017578125,622810,0.0,0.0
2022-04-01 00:00:00+05:30,1677.971747390292,1699.9014732686758,1665.367997445292,1695.0260009765625,311590,0.0,0.0
2022-04-04 00:00:00+05:30,1700.1236884487728,1724.8870127620248,1685.8400969194902,1720.4122314453125,397840,0.0,0.0
2022-04-05 00:00:00+05:30,1720.9769909182771,1743.568096132609,1710.5889456572477,1740.0152587890625,397820,0.0,0.0
2022-04-06 00:00:00+05:30,1735.3618355144843,1762.8766128786915,1724.549057865918,1758.701171875,470580,0.0,0.0
2022-04-07 00:00:00+05:30,1752.2570118920637,1761.9113204975297,1736.3274026930449,1755.9642333984375,374870,0.0,0.0
2022-04-08 00:00:00+05:30,1752.4498794369101,1785.6607213599345,1744.499571220345,1781.4901123046875,342810,0.0,0.0
2022-04-11 00:00:00+05:30,1778.1305484775194,1788.002055136649,1758.3392164776194,1778.9366455078125,376690,0.0,0.0
2022-04-12 00:00:00+05:30,1764.3536957275098,1785.9503769998835,1759.2561930577042,1778.111083984375,549000,0.0,0.0
2022-04-13 00:00:00+05:30,1783.6332572806632,1790.777468187083,1761.9110660553235,1774.693359375,273300,0.0,0.0
2022-04-18 00:00:00+05:30,1766.7383364042453,1804.0039411320834,1766.7383364042453,1791.984375,537730,0.0,0.0
2022-04-19 00:00:00+05:30,1789.9568945505123,1807.7690444032585,1721.5801922942667,1732.81298828125,659420,0.0,0.0
