Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-10 00:00:00+05:30,2377.256311887752,2378.447970104441,2286.4383783884214,2311.613037109375,14054,0.0,0.0
2022-01-11 00:00:00+05:30,2304.9592846937676,2333.7588621414707,2288.1264767106913,2302.4765625,14332,0.0,0.0
2022-01-12 00:00:00+05:30,2332.7658465265736,2345.6760023396196,2288.1762515074684,2310.520751953125,12461,0.0,0.0
2022-01-13 00:00:00+05:30,2295.0286166722162,2346.6692432697737,2284.1046379688864,2328.644775390625,35645,0.0,0.0
2022-01-14 00:00:00+05:30,2290.0632197247846,2349.0526089757236,2290.0632197247846,2324.126220703125,23776,0.0,0.0
2022-01-17 00:00:00+05:30,2324.1261887204614,2432.074912371385,2324.1261887204614,2383.76123046875,27147,0.0,0.0
2022-01-18 00:00:00+05:30,2393.344286213095,2413.206064521917,2352.031690349405,2372.68798828125,26702,0.0,0.0
2022-01-19 00:00:00+05:30,2372.6877833321955,2382.4201023535256,2254.4605096705477,2290.708251953125,19673,0.0,0.0
2022-01-20 00:00:00+05:30,2290.7086266577344,2333.7591314468345,2284.104681841583,2308.584228515625,6713,0.0,0.0
2022-01-21 00:00:00+05:30,2295.028692416774,2321.693229204003,2204.459023577976,2226.952392578125,17047,0.0,0.0
2022-01-24 00:00:00+05:30,2185.78872751123,2203.6643281905585,2035.832299590196,2183.951416015625,24425,0.0,0.0
2022-01-25 00:00:00+05:30,1936.52334015942,2140.1065630992566,1887.961269076242,2085.536376953125,107923,0.0,0.0
2022-01-27 00:00:00+05:30,2104.3553300926906,2104.3553300926906,2008.075411970576,2041.89013671875,21105,0.0,0.0
2022-01-28 00:00:00+05:30,2065.42626647461,2080.322599424778,2008.5222261143017,2046.3590087890625,8146,0.0,0.0
2022-01-31 00:00:00+05:30,2083.500537535695,2083.500537535695,2018.2049415666904,2030.27099609375,7221,0.0,0.0
2022-02-01 00:00:00+05:30,2030.27092001528,2045.7630822178091,1986.1777497260282,1993.4769287109375,7421,0.0,0.0
2022-02-02 00:00:00+05:30,2000.0811677387253,2173.8717359384655,2000.0811677387253,2142.986572265625,20962,0.0,0.0
2022-02-03 00:00:00+05:30,2145.0721818491456,2248.35343504929,2136.134381091441,2171.091064453125,17578,0.0,0.0
2022-02-04 00:00:00+05:30,2169.8993664557856,2169.8993664557856,2085.4868052893135,2100.1845703125,46393,0.0,0.0
2022-02-07 00:00:00+05:30,2100.1844869630368,2130.423995948953,2015.970498439051,2029.0792236328125,11063,0.0,0.0
2022-02-08 00:00:00+05:30,2030.966109743091,2060.2126509383193,1986.1778240559638,2027.04345703125,8931,0.0,0.0
2022-02-09 00:00:00+05:30,2048.990703780467,2086.47981032001,2033.2998504335114,2045.514892578125,5724,0.0,0.0
2022-02-10 00:00:00+05:30,2041.443072996385,2077.5419510098477,2033.0515203943032,2067.958740234375,4754,0.0,0.0
2022-02-11 00:00:00+05:30,2056.6871859144403,2056.6871859144403,2004.0534723202998,2012.84228515625,5119,0.0,0.0
2022-02-14 00:00:00+05:30,1948.440474937978,1990.9943112181743,1936.5234078129752,1938.062744140625,9487,0.0,0.0
2022-02-15 00:00:00+05:30,1963.982421875,1980.2194022569968,1936.5234876635625,1963.982421875,8677,0.0,0.0
2022-02-16 00:00:00+05:30,1966.117553739284,2010.7071506591749,1951.4197887733728,1962.8900146484375,7423,0.0,0.0
2022-02-17 00:00:00+05:30,1956.3851801414373,2041.7908275993884,1956.3851801414373,2029.62548828125,8520,0.0,0.0
2022-02-18 00:00:00+05:30,2035.832439304418,2130.175893808769,2023.2698392750808,2074.165771484375,15814,0.0,0.0
2022-02-21 00:00:00+05:30,2032.7039521747733,2039.754858985737,1991.7390358265654,2007.8271484375,4768,0.0,0.0
2022-02-22 00:00:00+05:30,1916.6616806890127,1986.177907449754,1916.6616806890127,1974.9063720703125,6905,0.0,0.0
2022-02-23 00:00:00+05:30,1971.28162960941,2021.9291677001304,1952.0156791099564,1969.1961669921875,6086,0.0,0.0
2022-02-24 00:00:00+05:30,1862.0416796156671,1966.3160136741444,1827.2835682628413,1837.26416015625,12404,0.0,0.0
2022-02-25 00:00:00+05:30,1837.4628499547637,1937.516562768136,1837.4628499547637,1921.1802978515625,11221,0.0,0.0
2022-02-28 00:00:00+05:30,1908.6176519485543,1996.1087630383838,1859.1121926926642,1983.49658203125,6592,0.0,0.0
2022-03-02 00:00:00+05:30,1953.7534024386823,2034.8391345086284,1901.8645079642677,2014.828369140625,12839,0.0,0.0
2022-03-03 00:00:00+05:30,2035.8322200717523,2085.4866644637464,2011.7498145416353,2054.45263671875,20172,0.0,0.0
2022-03-04 00:00:00+05:30,2060.659479122129,2080.4218513622513,1977.240011051643,2032.3564453125,15629,0.0,0.0
2022-03-07 00:00:00+05:30,1956.385006652148,1956.385006652148,1886.8687881416656,1927.337158203125,13854,0.0,0.0
2022-03-08 00:00:00+05:30,1934.3386567012187,1984.191672248011,1926.0959701326412,1935.4310302734375,7449,0.0,0.0
2022-03-09 00:00:00+05:30,2006.039548989646,2006.039548989646,1935.232262952957,1947.6458740234375,3967,0.0,0.0
2022-03-10 00:00:00+05:30,1980.4675376466082,2001.8686519195433,1946.4542428418463,1956.3851318359375,19909,0.0,0.0
